statute,link
Misuse of Drugs Act,https://sso.agc.gov.sg/Act/MDA1973
Sedition Act,https://sso.agc.gov.sg/Act/SA1948
Vandalism Act,https://sso.agc.gov.sg/Act/VA1966
Children and Young Persons Act,https://sso.agc.gov.sg/Act/CYPA1993
Immigration Act,https://sso.agc.gov.sg/Act/IA1959
Income Tax Act,https://sso.agc.gov.sg/Act/ITA1947
Companies Act,https://sso.agc.gov.sg/Act/CoA1967
Prevention of Corruption Act,https://sso.agc.gov.sg/Act/PCA1960
Customs Act,https://sso.agc.gov.sg/Act/CA1960
Road Traffic Act,https://sso.agc.gov.sg/Act/RTA1961
Environmental Public Health Act,https://sso.agc.gov.sg/Act/EPHA1987
Computer Misuse Act,https://sso.agc.gov.sg/Act/CMA1993
Penal Code,https://sso.agc.gov.sg/Act/PC1871
Employment Agencies Act,https://sso.agc.gov.sg/Act/EAA1958
Employment of Foreign Manpower Act,https://sso.agc.gov.sg/Act/EFMA1990
Workplace Safety and Health Act,https://sso.agc.gov.sg/Act/WSHA2006
Work Injury Compensation Act,https://sso.agc.gov.sg/Act/WICA2019
"Corruption, Drug Trafficking and Other Serious Crimes (Confiscation of Benefits) Act",https://sso.agc.gov.sg/Act/CDTOSCCBA1992
